J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;1698;4408;5214;5724;6050;5524;5006;2272;0;de Lanaudière / Laurier
0;0;0;1357;3298;3399;3291;3477;3595;3001;1253;0;de Lanaudière / Marie-Anne
0;0;0;401;1229;1431;1990;1754;1374;1311;545;0;de Laprairie / Centre
0;0;0;194;668;650;711;816;582;455;174;0;de Lisieux / Jean-Talon
0;0;0;363;1577;2192;2443;2703;2394;1971;787;0;de Léry / Sherbrooke
0;0;0;0;0;0;0;186;56;0;0;0;de l’hôtel de ville / Saint-Joseph
0;0;0;731;2012;2118;1967;1822;2125;1766;689;0;de Maisonneuve / Aylmer (est)
0;0;0;1079;3235;2514;2887;2668;2737;2349;895;0;de Maisonneuve / Aylmer (ouest)
0;0;0;118;407;490;666;718;821;586;206;0;de Maisonneuve / Berri
0;0;0;1386;4443;4804;4914;5013;4774;3745;1364;0;de Maisonneuve / Greene
0;0;0;1064;3144;3600;4132;4165;3475;2772;1147;0;de Maisonneuve / Mansfield (nord)
0;0;0;1492;4379;5411;6001;5891;5373;4165;1604;0;de Maisonneuve / Mansfield (sud)
0;0;0;0;0;0;0;0;646;1147;455;0;de Maisonneuve / Mansfield SE
0;0;0;444;1378;1663;1784;2048;1624;1351;461;0;de Melrose / Sherbrooke
0;0;0;1012;2810;2955;1614;1674;1588;1414;484;0;de Mentana / Gilford
0;0;0;1604;6067;6360;7048;6595;5266;3480;1280;0;de Mentana / Laurier
0;0;0;1113;3469;4006;4179;4416;4405;3385;1288;0;de Mentana / Marie-Anne
0;0;0;1471;1905;1495;0;2783;3131;2724;1006;0;de Mentana / Rachel
0;0;0;0;0;268;1488;1299;1495;1288;489;0;de Mentana / St-Joseph
0;0;0;604;1982;2140;2140;2168;2049;1592;553;0;de Monkland / Girouard
0;0;0;0;0;0;0;0;1040;1389;506;0;de Normanville / Beaubien
0;0;0;0;0;0;0;0;0;162;0;0;de Normanville / Jean-Talon
0;0;0;827;2251;2479;2685;2817;2528;2080;722;0;de Normanville / Villeray
0;0;0;271;1022;1136;1200;1147;1088;1333;536;0;de Rouen / Lespérance
0;0;0;796;2577;2610;2234;2643;2690;2275;907;0;de Soissons / de Darlington
0;0;0;308;795;947;917;599;675;423;170;0;de St-Firmin / Fleury
0;0;0;746;2377;2587;2803;3206;2928;2468;848;0;de St-Vallier / St-Zotique
0;0;0;0;0;263;883;833;664;457;291;0;de Versailles / St-Jacques
0;0;0;542;1650;2003;2202;2144;1753;1263;489;0;de Ville-Marie / Ste-Catherine
0;0;0;0;0;0;0;0;38;322;141;0;Delisle / George-Vanier
0;0;0;1975;7019;7833;9651;9058;7253;5089;1923;0;des Bassins / du Séminaire
0;0;0;503;0;0;0;0;0;0;0;0;des Bassins / Richmond
0;0;0;170;584;820;762;850;550;410;138;0;des Jockeys / Décarie
0;0;0;27;299;378;494;430;325;254;101;0;des Ormeaux / de Grosbois
0;0;0;289;829;1151;1338;1071;776;343;116;0;des Ormeaux / Notre-Dame
0;0;0;127;332;328;188;197;149;105;46;0;des Récollets / Martial
0;0;0;949;2799;3188;3293;3592;3133;2434;979;0;des Récollets / McGill
0;0;0;932;2976;3563;4275;4092;3560;2641;1253;0;des Seigneurs / Notre-Dame
0;0;0;275;1619;1760;2531;2784;1694;743;302;0;des Soeurs-Grises / Marguerite-d'Youville
0;0;0;440;1202;1355;1209;1584;1505;1181;452;0;des Érables / Bélanger
0;0;0;675;1661;1991;1462;1261;1236;1159;478;0;des Érables / Dandurand
0;0;0;800;1977;2723;3485;3716;3572;2838;1126;0;des Érables / du Mont-Royal
0;0;0;425;2437;2855;3310;3513;3275;2956;1192;0;des Érables / Laurier
0;0;0;1480;4090;4426;4424;4617;4305;3964;1593;0;des Érables / Rachel
